longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,<1H OCEAN,INLAND,ISLAND,NEAR BAY,NEAR OCEAN,bedroom_share,men_per_household,population_per_room,age_cat,city
-122.23,37.88,41.0,880.0,129.0,322.0,126.0,8.3252,452600.0,0,0,0,1,0,14.659091,2.5555556,0.3659091,4,1
-122.22,37.86,21.0,7099.0,1106.0,2401.0,1138.0,8.3014,358500.0,0,0,0,1,0,15.579659,2.1098418,0.33821666,3,1
-122.24,37.85,52.0,1467.0,190.0,496.0,177.0,7.2574,352100.0,0,0,0,1,0,12.951602,2.80226,0.33810496,4,1
-122.25,37.85,52.0,1274.0,235.0,558.0,219.0,5.6431,341300.0,0,0,0,1,0,18.445839,2.5479453,0.43799058,4,1
-122.25,37.85,52.0,1627.0,280.0,565.0,259.0,3.8462,342200.0,0,0,0,1,0,17.209589,2.1814673,0.34726492,4,1
-122.25,37.85,52.0,919.0,213.0,413.0,193.0,4.0368,269700.0,0,0,0,1,0,23.177366,2.1398964,0.44940153,4,1
-122.25,37.84,52.0,2535.0,489.0,1094.0,514.0,3.6591,299200.0,0,0,0,1,0,19.28994,2.1284046,0.4315582,4,1
-122.25,37.84,52.0,3104.0,687.0,1157.0,647.0,3.12,241400.0,0,0,0,1,0,22.132732,1.7882534,0.37274486,4,1
-122.26,37.84,42.0,2555.0,665.0,1206.0,595.0,2.0804,226700.0,0,0,0,1,0,26.027397,2.0268908,0.47201565,4,1
-122.25,37.84,52.0,3549.0,707.0,1551.0,714.0,3.6912,261100.0,0,0,0,1,0,19.921104,2.1722689,0.4370245,4,1
-122.26,37.85,52.0,2202.0,434.0,910.0,402.0,3.2031,281500.0,0,0,0,1,0,19.709354,2.2636817,0.41326067,4,1
-122.26,37.85,52.0,3503.0,752.0,1504.0,734.0,3.2705,241800.0,0,0,0,1,0,21.467314,2.0490463,0.42934626,4,1
-122.26,37.85,52.0,2491.0,474.0,1098.0,468.0,3.075,213500.0,0,0,0,1,0,19.028503,2.3461537,0.44078684,4,1
-122.26,37.84,52.0,696.0,191.0,345.0,174.0,2.6736,191300.0,0,0,0,1,0,27.44253,1.9827586,0.49568966,4,1
