longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,<1H OCEAN,INLAND,ISLAND,NEAR BAY,NEAR OCEAN,bedroom_share,men_per_household,population_per_room,age_cat,city
-1.3299176,1.037149,1.0249655,880.0,129.0,322.0,126.0,2.961119,452600.0,0,0,0,1,0,14.659091,-0.5023325,-0.92165697,4,1
-1.3249313,1.0278443,-0.60430497,7099.0,1106.0,2401.0,1138.0,2.9459562,358500.0,0,0,0,1,0,15.579659,-1.0937383,-1.0338526,3,1
-1.3349,1.0231911,1.9210644,1467.0,190.0,496.0,177.0,2.2808316,352100.0,0,0,0,1,0,12.951602,-0.17498705,-1.0343051,4,1
-1.3398863,1.0231911,1.9210644,1274.0,235.0,558.0,219.0,1.2523727,341300.0,0,0,0,1,0,18.445839,-0.5124304,-0.6296197,4,1
-1.3398863,1.0231911,1.9210644,1627.0,280.0,565.0,259.0,0.10758118,342200.0,0,0,0,1,0,17.209589,-0.9987003,-0.9971937,4,1
-1.3398863,1.0231911,1.9210644,919.0,213.0,413.0,193.0,0.22901098,269700.0,0,0,0,1,0,23.177366,-1.0538597,-0.5833884,4,1
-1.3398863,1.0185397,1.9210644,2535.0,489.0,1094.0,514.0,-0.011618797,299200.0,0,0,0,1,0,19.28994,-1.0691078,-0.6556805,4,1
-1.3398863,1.0185397,1.9210644,3104.0,687.0,1157.0,647.0,-0.3550755,241400.0,0,0,0,1,0,22.132732,-1.5204455,-0.89396197,4,1
-1.3448726,1.0185397,1.106429,2555.0,665.0,1206.0,595.0,-1.0173969,226700.0,0,0,0,1,0,26.027397,-1.2038039,-0.49176753,4,1
-1.3398863,1.0185397,1.9210644,3549.0,707.0,1551.0,714.0,0.008831851,261100.0,0,0,0,1,0,19.921104,-1.0109055,-0.6335338,4,1
-1.3448726,1.0231911,1.9210644,2202.0,434.0,910.0,402.0,-0.30213305,281500.0,0,0,0,1,0,19.709354,-0.8896123,-0.7298127,4,1
-1.3448726,1.0231911,1.9210644,3503.0,752.0,1504.0,734.0,-0.25919303,241800.0,0,0,0,1,0,21.467314,-1.1744063,-0.6646421,4,1
-1.3448726,1.0231911,1.9210644,2491.0,474.0,1098.0,468.0,-0.38374457,213500.0,0,0,0,1,0,19.028503,-0.78018224,-0.6182907,4,1
-1.3448726,1.0185397,1.9210644,696.0,191.0,345.0,174.0,-0.6394736,191300.0,0,0,0,1,0,27.44253,-1.2623616,-0.39585257,4,1
-1.3448726,1.0231911,1.9210644,2643.0,626.0,1212.0,620.0,-1.121689,159200.0,0,0,0,1,0,23.685205,-1.2994077,-0.5462433,4,1
-1.3448726,1.0231911,1.7581373,1120.0,283.0,697.0,264.0,-0.98898256,140000.0,0,0,0,1,0,25.267857,-0.39008442,0.11719452,4,1
-1.3498551,1.0231911,1.9210644,1966.0,347.0,793.0,331.0,-0.5748723,152500.0,0,0,0,1,0,17.650051,-0.71434736,-0.76993704,4,1
-1.3498551,1.0231911,1.9210644,1228.0,293.0,648.0,303.0,-0.99204063,155500.0,0,0,0,1,0,23.859936,-1.0555613,-0.26621446,4,1
-1.3448726,1.0185397,1.7581373,2239.0,455.0,990.0,419.0,-1.0742893,158700.0,0,0,0,1,0,20.321571,-0.7581367,-0.61272055,4,1
